# DO NOT EDIT BY HAND - rebuild with tools/generate/import_vectors.py
# Interrupt vector map per startup variant. Slot 0 (reset) is emitted by
# crt0_ch32.S, so slots start at 1. An empty handler means a reserved slot.
# Verified against the EVT startup sources every PR by tests/startup/.
variant,slot,handler
v205,52,SPI2_IRQHandler
v205,53,USART1_IRQHandler
v205,54,USART2_IRQHandler
v205,55,USART3_IRQHandler
v205,56,EXTI15_10_IRQHandler
v205,57,RTCAlarm_IRQHandler
v205,58,QSPI1_IRQHandler
v205,59,USBFS_IRQHandler
v205,60,USBFSWakeUp_IRQHandler
v205,61,USART4_IRQHandler
v205,62,DMA1_Channel8_IRQHandler
v205,63,PIOC_IRQHandler
v205,64,OPA_IRQHandler
v205,65,USBPD_IRQHandler
v205,66,
v205,67,USBPDWakeUp_IRQHandler
v205,68,CMPWakeUp_IRQHandler
v205,69,USBHS_IRQHandler
v205,70,LVDS_IRQHandler
v205,71,USBHSWakeup_IRQHandler
v205,72,LVDSWakeup_IRQHandler
v205,73,USART5_IRQHandler
v205,74,USART6_IRQHandler
v205,75,USART7_IRQHandler
v205,76,USART8_IRQHandler
v205,77,DMA2_Channel1_IRQHandler
v205,78,DMA2_Channel2_IRQHandler
v205,79,DMA2_Channel3_IRQHandler
v205,80,DMA2_Channel4_IRQHandler
v205,81,DMA2_Channel5_IRQHandler
v205,82,DMA2_Channel6_IRQHandler
v205,83,DMA2_Channel7_IRQHandler
v205,84,DMA2_Channel8_IRQHandler
m030,1,
m030,2,NMI_Handler
m030,3,HardFault_Handler
m030,4,
m030,5,Ecall_M_Mode_Handler
m030,6,
m030,7,
m030,8,Ecall_U_Mode_Handler
m030,9,Break_Point_Handler
m030,10,
m030,11,
m030,12,SysTick_Handler
m030,13,
m030,14,SW_Handler
m030,15,
m030,16,WWDG_IRQHandler
m030,17,OPA_IRQHandler
m030,18,FLASH_IRQHandler
m030,19,RCC_IRQHandler
m030,20,EXTI7_0_IRQHandler
m030,21,AWU_IRQHandler
m030,22,DMA1_Channel1_IRQHandler
m030,23,DMA1_Channel2_IRQHandler
m030,24,DMA1_Channel3_IRQHandler
m030,25,DMA1_Channel4_IRQHandler
m030,26,DMA1_Channel5_IRQHandler
m030,27,DMA1_Channel6_IRQHandler
m030,28,DMA1_Channel7_IRQHandler
m030,29,ADC_IRQHandler
m030,30,I2C1_EV_IRQHandler
m030,31,I2C1_ER_IRQHandler
m030,32,USART1_IRQHandler
m030,33,EXTI15_8_IRQHandler
m030,34,TIM1_BRK_IRQHandler
m030,35,TIM1_UP_IRQHandler
m030,36,TIM1_TRG_COM_IRQHandler
m030,37,TIM1_CC_IRQHandler
m030,38,TIM2_IRQHandler
m030,39,USBPD0_IRQHandler
m030,40,USBPD0WakeUp_IRQHandler
m030,41,USBPD1_IRQHandler
m030,42,USBPD1WakeUp_IRQHandler
m030,43,TIM3_IRQHandler
m030,44,SPI1_IRQHandler
m030,45,USBFS_IRQHandler
m030,46,USBFSWakeUp_IRQHandler
v307_d8,1,
v307_d8,2,NMI_Handler
v307_d8,3,HardFault_Handler
v307_d8,4,
v307_d8,5,Ecall_M_Mode_Handler
v307_d8,6,
v307_d8,7,
v307_d8,8,Ecall_U_Mode_Handler
v307_d8,9,Break_Point_Handler
v307_d8,10,
v307_d8,11,
v307_d8,12,SysTick_Handler
v307_d8,13,
v307_d8,14,SW_Handler
v307_d8,15,
v307_d8,16,WWDG_IRQHandler
v307_d8,17,PVD_IRQHandler
v307_d8,18,TAMPER_IRQHandler
v307_d8,19,RTC_IRQHandler
v307_d8,20,FLASH_IRQHandler
v307_d8,21,RCC_IRQHandler
v307_d8,22,EXTI0_IRQHandler
v307_d8,23,EXTI1_IRQHandler
v307_d8,24,EXTI2_IRQHandler
v307_d8,25,EXTI3_IRQHandler
v307_d8,26,EXTI4_IRQHandler
v307_d8,27,DMA1_Channel1_IRQHandler
v307_d8,28,DMA1_Channel2_IRQHandler
v307_d8,29,DMA1_Channel3_IRQHandler
v307_d8,30,DMA1_Channel4_IRQHandler
v307_d8,31,DMA1_Channel5_IRQHandler
v307_d8,32,DMA1_Channel6_IRQHandler
v307_d8,33,DMA1_Channel7_IRQHandler
v307_d8,34,ADC1_2_IRQHandler
v307_d8,35,USB_HP_CAN1_TX_IRQHandler
v307_d8,36,USB_LP_CAN1_RX0_IRQHandler
v307_d8,37,CAN1_RX1_IRQHandler
v307_d8,38,CAN1_SCE_IRQHandler
v307_d8,39,EXTI9_5_IRQHandler
v307_d8,40,TIM1_BRK_IRQHandler
v307_d8,41,TIM1_UP_IRQHandler
v307_d8,42,TIM1_TRG_COM_IRQHandler
v307_d8,43,TIM1_CC_IRQHandler
v307_d8,44,TIM2_IRQHandler
v307_d8,45,TIM3_IRQHandler
v307_d8,46,TIM4_IRQHandler
v307_d8,47,I2C1_EV_IRQHandler
v307_d8,48,I2C1_ER_IRQHandler
v307_d8,49,I2C2_EV_IRQHandler
v307_d8,50,I2C2_ER_IRQHandler
v307_d8,51,SPI1_IRQHandler
v307_d8,52,SPI2_IRQHandler
v307_d8,53,USART1_IRQHandler
v307_d8,54,USART2_IRQHandler
v307_d8,55,USART3_IRQHandler
v307_d8,56,EXTI15_10_IRQHandler
v307_d8,57,RTCAlarm_IRQHandler
v307_d8,58,
v307_d8,59,TIM8_BRK_IRQHandler
v307_d8,60,TIM8_UP_IRQHandler
v307_d8,61,TIM8_TRG_COM_IRQHandler
v307_d8,62,TIM8_CC_IRQHandler
v307_d8,63,RNG_IRQHandler
v307_d8,64,
v307_d8,65,SDIO_IRQHandler
v307_d8,66,TIM5_IRQHandler
v307_d8,67,SPI3_IRQHandler
v307_d8,68,UART4_IRQHandler
v307_d8,69,UART5_IRQHandler
v307_d8,70,TIM6_IRQHandler
v307_d8,71,TIM7_IRQHandler
v307_d8,72,DMA2_Channel1_IRQHandler
v307_d8,73,DMA2_Channel2_IRQHandler
v307_d8,74,DMA2_Channel3_IRQHandler
v307_d8,75,DMA2_Channel4_IRQHandler
v307_d8,76,DMA2_Channel5_IRQHandler
v307_d8,77,
v307_d8,78,
v307_d8,79,
v307_d8,80,
v307_d8,81,
v307_d8,82,
v307_d8,83,USBFS_IRQHandler
v307_d8,84,
v307_d8,85,
v307_d8,86,
v307_d8,87,UART6_IRQHandler
v307_d8,88,UART7_IRQHandler
v307_d8,89,UART8_IRQHandler
v307_d8,90,TIM9_BRK_IRQHandler
v307_d8,91,TIM9_UP_IRQHandler
v307_d8,92,TIM9_TRG_COM_IRQHandler
v307_d8,93,TIM9_CC_IRQHandler
v307_d8,94,TIM10_BRK_IRQHandler
v307_d8,95,TIM10_UP_IRQHandler
v307_d8,96,TIM10_TRG_COM_IRQHandler
v307_d8,97,TIM10_CC_IRQHandler
v307_d8,98,DMA2_Channel6_IRQHandler
v307_d8,99,DMA2_Channel7_IRQHandler
v307_d8,100,DMA2_Channel8_IRQHandler
v307_d8,101,DMA2_Channel9_IRQHandler
v307_d8,102,DMA2_Channel10_IRQHandler
v307_d8,103,DMA2_Channel11_IRQHandler
v307_d8c,1,
v307_d8c,2,NMI_Handler
v307_d8c,3,HardFault_Handler
v307_d8c,4,
v307_d8c,5,Ecall_M_Mode_Handler
v307_d8c,6,
v307_d8c,7,
v307_d8c,8,Ecall_U_Mode_Handler
v307_d8c,9,Break_Point_Handler
v307_d8c,10,
v307_d8c,11,
